"","cell1","cell2","cell3","cell4","cell5","cell6"
"spot 1",0.0100020568044965,0.0971055353545723,0.0391515314563178,0.51469539971888,0.134202011195241,0.204843465470493
"spot 2",0.00560537202658703,0.0880449733574712,0.0921118738295947,0.121399854123693,0.367628345197745,0.325209581464909
"spot 3",0.332471906749627,0.156961861421922,0.248275582168468,0.00322042494061631,0.124897813378051,0.134172411341316
"spot 4",0.517784008255302,0.00638152345977271,0.248850668120207,0.0209761494827384,0.133376626324997,0.0726310243569824
"spot 5",0.0513597942657255,0.0780236477309091,0.00364320047958561,0.56695463259599,0.262471802060623,0.0375469228671664
"spot 6",0.0194459824965569,0.297065802046617,0.224824811485305,0.0503424152861102,0.127664279586091,0.28065670909932
"spot 7",0.109715389719023,0.0339344762702109,0.0639862302858761,0.532328397486352,0.255215630615801,0.00481987562273824
"spot 8",0.0390654477986953,0.19752959016355,0.317226802130089,0.106683817663161,0.0408492802812663,0.298645061963238
"spot 9",0.368204209878619,0.199726881550175,0.0691608005323042,0.153363298827454,0.0499958040905719,0.159549005120875
"spot 10",0.0287930747301532,0.34113441655956,0.0420872916756132,0.404400492102801,0.0646803152812214,0.118904409650652
"spot 11",0.406124746620888,0.0839740445579784,0.267312191775803,0.0291671697486671,0.0746790191359801,0.138742828160684
"spot 12",0.259123418475851,0.0964033910126591,0.0483961059954706,0.24822596053402,0.0907125586099246,0.257138565372075
"spot 13",0.147119790404504,0.115499794077397,0.0299148033732345,0.282266051848366,0.257208246053961,0.167991314242538
"spot 14",0.124931852495849,0.164133724503177,0.438296001417473,0.165187706485422,0.0170506047952744,0.090400110302804
"spot 15",0.007761478592038,0.243112041067866,0.256237518573759,0.35532045245293,0.0979776654360779,0.0395908438773291
"spot 16",0.184153546445508,0.366892613111109,0.298321022904876,0.0530564054639258,0.0476426321689993,0.0499337799055814
"spot 17",0.066972167957301,0.0302937004457607,0.375542038150016,0.210788785853182,0.12018654983061,0.196216757763131
"spot 18",0.0559590414233655,0.016911434864174,0.488667138569627,0.0176288838952607,0.413557108835257,0.00727639241231595
