"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20"
"spot 1",3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,10,0
"spot 2",0,1,0,0,0,0,0,0,0,0,6,0,7,7,1,0,0,0,3,4
"spot 3",0,0,0,0,0,0,0,2,0,0,0,0,0,7,6,0,0,9,10,0
"spot 4",3,1,0,0,0,2,0,0,0,0,0,7,0,4,1,0,0,0,0,0
"spot 5",0,1,0,0,0,0,0,0,1,0,6,4,0,0,0,1,6,0,0,0
"spot 6",0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,8,0,0,0
"spot 7",0,0,4,3,0,2,1,4,3,0,0,0,0,6,0,12,13,0,0,0
"spot 8",0,3,1,1,0,1,1,0,0,0,0,8,1,0,1,0,4,0,5,0
"spot 9",2,0,0,0,0,2,2,0,0,0,0,13,9,0,6,2,0,7,6,5
"spot 10",0,0,4,0,3,4,6,0,0,0,9,16,0,0,0,0,0,10,13,10
"spot 11",1,1,0,4,0,2,0,4,3,2,0,0,5,0,6,0,0,0,0,0
"spot 12",0,0,1,4,0,1,0,0,0,1,0,5,6,0,0,5,5,0,0,0
"spot 13",0,0,0,0,0,0,0,6,0,2,3,10,6,6,5,0,1,0,6,2
"spot 14",0,0,2,0,1,2,0,0,0,0,3,0,0,0,0,7,7,6,5,6
"spot 15",0,6,0,6,0,4,2,7,4,2,5,12,5,6,0,2,8,5,5,0
"spot 16",0,0,0,9,0,0,1,1,0,0,2,9,0,3,0,0,1,0,7,0
"spot 17",0,0,0,0,3,1,2,3,0,0,0,0,6,7,5,4,0,5,2,0
"spot 18",0,2,1,0,0,0,4,7,3,0,5,10,7,0,0,6,6,0,0,0
"spot 19",7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,5
"spot 20",4,0,7,0,0,3,0,9,0,1,0,15,0,9,0,0,6,9,0,0
"spot 21",7,7,0,0,2,0,0,4,0,0,7,12,0,0,0,5,6,0,0,0
"spot 22",0,0,3,4,0,0,0,7,0,2,5,24,0,0,0,3,0,8,0,0
"spot 23",6,7,0,0,0,0,0,0,7,0,1,12,0,3,0,5,0,0,0,0
"spot 24",0,0,0,7,0,0,5,3,0,3,0,0,0,7,0,0,0,9,2,11
"spot 25",7,4,0,0,6,4,0,0,1,6,7,0,8,0,5,0,0,0,9,8
"spot 26",6,9,3,0,3,0,0,11,0,0,0,18,12,0,13,0,9,0,0,0
"spot 27",6,8,7,0,0,6,0,0,5,0,5,9,0,14,0,0,6,9,1,0
"spot 28",7,7,4,8,7,3,0,0,1,0,0,21,0,0,0,1,6,0,3,7
"spot 29",7,7,3,9,8,0,2,17,3,11,0,0,7,10,5,0,0,1,0,0
"spot 30",0,14,0,0,12,0,0,9,0,0,0,0,2,6,0,11,0,4,11,0
"spot 31",9,12,3,5,2,0,0,5,4,0,7,0,2,4,4,0,11,0,0,0
"spot 32",0,5,5,0,0,0,4,0,0,7,4,0,6,0,8,7,0,0,0,7
"spot 33",0,0,0,4,2,1,2,0,0,0,6,12,0,11,8,0,13,0,13,16
"spot 34",7,0,1,3,1,2,1,0,1,0,5,7,5,17,12,0,12,0,13,0
"spot 35",1,0,0,2,0,0,1,0,1,0,6,0,0,0,6,0,6,0,0,0
"spot 36",2,2,0,1,1,1,2,6,0,0,0,0,6,0,0,0,0,4,12,0
