"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20"
"spot 1",1,0,0,0,0,0,1,0,0,0,0,0,6,1,4,0,0,5,9,0
"spot 2",0,0,0,0,0,3,1,0,0,0,5,7,6,8,6,0,0,1,11,3
"spot 3",0,0,0,0,1,3,1,0,0,0,0,0,0,5,1,0,0,0,0,7
"spot 4",0,1,0,0,0,0,0,0,2,1,8,5,4,0,3,12,0,0,0,4
"spot 5",0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,9,0,0,10,4
"spot 6",1,0,0,1,0,0,0,0,1,0,0,8,3,0,0,0,0,4,7,0
"spot 7",0,0,0,0,0,1,0,0,0,0,11,0,6,0,2,19,3,0,0,3
"spot 8",0,2,0,0,0,1,0,1,2,0,8,0,0,4,8,17,0,0,10,9
"spot 9",0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,18,0,0,0,0
"spot 10",0,0,0,0,1,2,0,0,0,0,0,4,0,4,1,10,0,0,0,3
"spot 11",0,0,0,1,0,0,0,0,0,2,10,0,7,1,0,12,0,0,0,7
"spot 12",0,0,4,0,0,2,2,0,2,0,8,10,5,0,4,0,0,0,0,0
"spot 13",0,2,0,0,0,0,0,0,0,0,10,9,0,0,2,12,0,0,0,6
"spot 14",0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,6,0,6,2
"spot 15",1,0,0,0,0,0,1,0,0,0,0,0,5,4,0,9,9,0,8,0
"spot 16",1,1,0,2,0,0,0,1,0,0,7,0,4,0,4,0,3,1,10,0
"spot 17",1,2,3,0,0,6,0,0,0,0,0,7,4,2,4,6,0,0,0,0
"spot 18",0,0,0,0,3,3,2,1,1,1,0,3,3,0,0,0,11,0,0,5
"spot 19",0,0,11,2,4,5,2,0,1,4,0,0,11,6,6,0,14,1,22,0
"spot 20",0,0,0,1,5,0,0,0,0,2,17,0,0,0,5,16,10,1,0,0
"spot 21",0,0,1,0,6,0,0,0,3,3,0,0,0,0,0,20,7,2,0,0
"spot 22",4,0,5,4,2,8,0,0,3,1,8,0,0,0,0,21,0,0,0,0
"spot 23",2,2,2,0,0,0,1,3,1,0,15,0,13,7,6,11,7,0,0,0
"spot 24",0,0,0,2,0,0,0,0,5,2,0,5,0,0,0,0,9,0,0,0
"spot 25",0,0,0,0,3,8,5,2,0,0,0,7,7,4,11,17,11,0,11,0
"spot 26",0,0,9,0,1,1,1,2,0,0,13,0,0,7,0,0,0,1,7,2
"spot 27",0,2,0,0,5,13,0,0,3,3,0,0,0,4,5,0,3,1,0,0
"spot 28",3,0,0,3,0,0,0,0,1,0,14,6,0,4,0,15,18,0,3,0
"spot 29",0,3,18,9,5,0,3,0,0,0,11,0,0,0,6,21,0,0,8,0
"spot 30",3,0,9,0,0,10,5,0,0,0,0,5,9,0,1,0,10,0,0,3
"spot 31",0,0,0,0,0,0,0,5,0,7,0,0,13,0,0,0,0,2,8,0
"spot 32",0,8,0,10,0,25,13,5,0,4,2,0,4,6,8,11,2,3,0,3
"spot 33",0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,9,0,0,4,4
"spot 34",0,0,0,0,0,0,1,0,0,0,2,0,3,0,3,3,1,1,0,3
"spot 35",0,0,0,1,0,1,0,1,1,0,0,5,4,5,3,7,0,2,5,0
"spot 36",1,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,7,2,10,0
"spot 37",0,0,2,0,0,0,0,0,0,0,9,6,0,0,0,0,3,0,2,2
"spot 38",0,0,0,0,0,0,0,0,1,1,0,8,4,0,6,21,0,3,0,0
"spot 39",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0
"spot 40",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,1,7,2
"spot 41",0,0,0,0,0,0,1,0,0,3,7,0,0,0,5,0,13,0,15,0
"spot 42",2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
"spot 43",0,0,5,0,0,1,0,0,0,1,0,0,4,3,0,0,3,0,6,4
"spot 44",0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,6,8,3,6,0
