"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20"
"spot 1",0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,3,0,0
"spot 2",1,3,0,0,0,0,1,0,1,0,8,0,0,5,3,0,6,15,4,7
"spot 3",0,0,0,2,0,0,0,0,0,0,4,9,0,0,7,18,0,0,6,0
"spot 4",0,0,0,0,1,0,0,0,0,4,0,0,3,0,2,5,0,0,3,8
"spot 5",1,0,2,2,0,0,0,1,0,0,5,13,13,0,0,8,0,16,5,0
"spot 6",3,0,5,1,0,0,1,0,4,0,8,14,0,12,0,17,20,23,0,0
"spot 7",0,0,0,0,0,0,0,0,0,1,0,8,0,0,3,0,7,0,1,6
"spot 8",5,4,9,3,2,0,0,0,0,5,0,0,11,12,7,25,0,0,10,0
"spot 9",3,0,10,4,5,0,1,2,0,3,0,6,6,14,6,5,0,0,0,0
"spot 10",0,0,0,4,0,0,2,0,2,0,0,5,0,0,0,0,7,14,0,0
"spot 11",0,0,2,0,3,0,1,0,0,1,6,6,2,11,0,8,12,0,0,0
"spot 12",0,3,0,3,0,4,1,0,1,0,5,13,0,0,5,7,12,0,5,10
"spot 13",1,0,0,0,1,0,0,2,0,2,4,6,0,3,3,5,5,0,0,0
"spot 14",0,0,0,0,0,2,1,0,1,0,2,6,0,0,2,8,0,0,4,0
"spot 15",0,0,0,5,5,2,0,0,0,11,0,0,0,0,3,23,0,23,2,18
"spot 16",0,0,8,1,0,0,0,0,0,5,4,0,0,14,4,10,14,4,0,3
"spot 17",0,1,0,0,4,2,0,2,0,0,3,2,6,0,0,0,0,3,0,0
"spot 18",0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,0,6,0,0,0
"spot 19",0,3,0,0,3,1,0,3,6,7,5,10,0,4,2,13,17,14,0,0
"spot 20",6,1,4,0,0,0,1,0,0,4,0,5,0,0,1,5,13,0,0,13
"spot 21",8,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,8,7,0,2
"spot 22",0,0,0,6,5,0,0,4,4,2,0,5,8,0,2,10,0,5,0,13
"spot 23",6,0,0,0,0,0,0,0,0,0,4,2,7,0,0,0,15,18,0,0
"spot 24",0,0,0,2,9,0,0,1,2,4,0,3,0,11,1,9,9,0,0,0
"spot 25",0,2,14,0,0,0,0,1,0,4,0,0,7,0,0,0,8,14,0,24
"spot 26",0,0,10,3,3,0,3,1,7,0,0,10,2,0,4,8,0,4,4,6
"spot 27",6,1,0,3,0,0,4,0,0,4,3,6,0,0,5,0,0,4,0,0
"spot 28",1,3,8,3,6,0,0,2,1,1,8,0,0,5,2,4,0,1,0,0
"spot 29",0,2,14,4,3,4,0,0,0,0,0,8,0,4,0,0,0,2,3,0
"spot 30",10,0,0,0,4,0,4,0,1,6,8,0,0,0,7,0,15,10,2,0
"spot 31",0,0,12,0,0,0,0,4,8,0,5,12,12,0,0,5,0,11,6,10
"spot 32",15,2,11,1,0,0,2,0,0,0,9,6,9,0,0,13,0,0,1,0
"spot 33",1,0,0,0,0,0,1,0,1,0,2,5,0,0,6,0,13,0,0,0
"spot 34",0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,9
"spot 35",0,0,1,4,0,0,0,0,0,0,9,0,7,0,0,0,17,0,0,6
"spot 36",0,2,1,0,0,0,0,3,0,3,0,0,0,4,0,3,4,0,0,0
"spot 37",0,0,1,1,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1
"spot 38",0,1,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,4,2,0
"spot 39",0,0,2,0,1,0,0,0,0,0,7,5,1,0,0,5,0,0,0,3
"spot 40",0,0,4,0,3,0,3,0,0,0,6,0,7,0,1,0,0,17,1,21
"spot 41",0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,11,24,0,0,13
"spot 42",1,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,6,0,0,0
"spot 43",1,0,0,0,2,0,1,0,1,0,0,0,2,3,0,5,0,7,0,6
"spot 44",0,0,2,0,4,0,2,0,0,2,4,0,0,0,3,4,0,7,0,0
"spot 45",0,0,0,1,2,0,0,0,0,1,2,0,2,6,0,2,5,0,4,0
"spot 46",0,0,5,5,0,0,2,2,0,0,3,0,8,0,4,6,14,0,0,0
"spot 47",0,0,5,0,0,1,0,0,3,0,0,4,0,4,0,0,0,0,0,14
"spot 48",0,1,0,1,1,0,0,0,0,1,2,0,2,3,0,5,0,0,1,1
"spot 49",0,2,4,1,4,1,0,6,0,0,0,3,0,10,4,3,0,9,0,5
"spot 50",5,0,0,2,5,1,0,4,1,0,9,5,3,8,0,4,0,0,1,5
"spot 51",0,0,13,6,1,0,8,0,2,4,0,10,6,0,4,5,5,9,0,0
