"","cell1","cell2","cell3","cell4","cell5","cell6"
"spot 1",0.10322597257488,0.168245148016976,0.18702977142806,0.0625256033341736,0.411091074111291,0.0678824305346195
"spot 2",0.0707456800605119,0.0163316922584884,0.50280968837886,0.0228724357362205,0.210106211190194,0.177134292375726
"spot 3",0.0369434369940488,0.0346409570148183,0.334411686862077,0.0712217953804343,0.0249436085776095,0.497838515171012
"spot 4",0.212153054629623,0.17247069233521,0.164314365179139,0.174634224459849,0.207552559563887,0.0688751038322926
"spot 5",0.280685759588336,0.267683048386888,0.0346846366874218,0.0690413827384096,0.252572810278552,0.095332362320392
"spot 6",0.333385217800935,0.0878705442200635,0.197741657994891,0.0415279234071169,0.169707103846468,0.169767552730525
"spot 7",0.0742180552695186,0.0539078656338633,0.0906915093228702,0.383803884333597,0.129557661548643,0.267821023891508
"spot 8",0.218897799263087,0.110503356159762,0.553751273991352,0.0581316859636695,0.0273031273645861,0.0314127572575429
"spot 9",0.298328258077377,0.166022187292835,0.019848804030381,0.130635629650185,0.1012656562845,0.283899464664722
"spot 10",0.022499687012106,0.602505228097211,0.0619528441655131,0.186805477710704,0.0193302666769262,0.106906496337539
"spot 11",0.0598641155175127,0.0249354121503883,0.319442841227177,0.1016194488791,0.068160523043363,0.42597765918246
"spot 12",0.0227262148212546,0.075973517778621,0.340832916027913,0.175868792419421,0.380461659306046,0.00413689964674351
"spot 13",0.601378972256138,0.010774558598549,0.0266141339649539,0.000655218411891523,0.31342298736319,0.0471541294052778
"spot 14",0.276944382274367,0.021012647175424,0.130672234705811,0.26713109758997,0.1729064954682,0.131333142786229
"spot 15",0.53339773171915,0.191217533285595,0.118842484813274,0.0846771502461719,0.0312989560827662,0.0405661438530426
"spot 16",0.0711574933085284,0.157851550398885,0.137630613873024,0.108928296668534,0.483473808686042,0.0409582370649874
"spot 17",0.367854823464155,0.0997447762359415,0.0343153244122183,0.148745225762929,0.32981124347267,0.0195286066520866
"spot 18",0.280646431916405,0.281457332039336,0.00303575114500342,0.101869536652751,0.0647343835655894,0.268256564680916
"spot 19",0.378833497578383,0.0790185402316994,0.192777222616231,0.144536788494898,0.193055872906219,0.0117780781725688
"spot 20",0.0596388476780787,0.419999548683168,0.198112397388108,0.0708726656732846,0.119370093060846,0.132006447516515
"spot 21",0.0331811614790893,0.125241382855559,0.0794947652761674,0.141105892054833,0.300170643933328,0.320806154401023
"spot 22",0.0032423179618876,0.0587789693889195,0.080347656215642,0.132158015892083,0.219596240447545,0.505876800093923
"spot 23",0.100072880535757,0.122576464559652,0.249990238688029,0.12540299310097,0.123828291690005,0.278129131425586
"spot 24",0.0358543815964541,0.0823397651504597,0.116118532672323,0.22358901914008,0.322944930546022,0.219153370894662
"spot 25",0.0793745106158161,0.113576145461192,0.0445138093961195,0.153544927383157,0.295519683626275,0.31347092351744
"spot 26",0.000712757504618627,0.00910355094153029,0.14562387055285,0.281980935921285,0.180187567351405,0.38239131772831
"spot 27",0.0356280985913806,0.0302200753437114,0.0968790349038369,0.279765294540675,0.339445806147697,0.218061690472699
"spot 28",0.0154238712840523,0.148621886010222,0.0762187983523813,0.204408714396505,0.265670416815739,0.2896563131411
"spot 29",0.00400907171911022,0.0595805567104491,0.128207912337512,0.20312801695853,0.274093922877463,0.330980519396936
"spot 30",0.0116170985670006,0.241527915931398,0.117351344801903,0.180679022626275,0.214409621301234,0.234414996772189
"spot 31",0.00425064838880936,0.012403103021743,0.16817012814121,0.31005890599717,0.290603732604229,0.214513481846839
"spot 32",0.000421947746995388,0.104975247016475,0.0949000064120987,0.19654181085897,0.212729406172902,0.39043158179256
"spot 33",0.00303094284656015,0.0402990828015916,0.234558601926291,0.228594896143331,0.033946799827651,0.459569676454576
"spot 34",0.0922028873119315,0.615004592538239,0.0235638818399409,0.0221435362900346,0.184369030268253,0.062716071751601
"spot 35",0.0928817970060533,0.00480985739705728,0.441708336152104,0.0314970348801964,0.368666064046065,0.060436910518524
"spot 36",0.0485606409656978,0.0114495758971815,0.20086508364329,0.367931191737019,0.211724975271251,0.15946853248556
"spot 37",0.634989544090245,0.053164848812663,0.0867342868362087,0.0496765809009697,0.0490059977154449,0.126428741644469
"spot 38",0.140374782130727,0.240039519493,0.0228196215125371,0.0102886962195622,0.510510549471144,0.07596683117303
"spot 39",0.0370875457872907,0.133893804133961,0.60368620739051,0.0626605500632259,0.155446679435329,0.00722521318968243
"spot 40",0.118534907916704,0.114021167735757,0.202866888194896,0.241094541102697,0.0416242070056817,0.281858288044264
"spot 41",0.19636055511289,0.0801300586978738,0.309475268283804,0.0770249830073662,0.327899412685614,0.00910972221245228
"spot 42",0.0466442325643576,0.504320784123887,0.190839945345266,0.107851341300139,0.061602504549964,0.0887411921163871
"spot 43",0.00620777190422736,0.286570456012351,0.102769271486802,0.225552517864895,0.0436306874737309,0.335269295257994
"spot 44",0.0386926464353717,0.0414666811137013,0.277614342332669,0.233759340248537,0.297763671939982,0.110703317929739
