"","cell1","cell2","cell3","cell4","cell5","cell6"
"spot 1",0.00537949888773989,0.0285685163584912,0.532451828005115,0.0917881006308569,0.31933782788789,0.022474228229907
"spot 2",0.0504182412397372,0.26458678960999,0.173786660113538,0.270920940950473,0.210190340262377,0.0300970278238844
"spot 3",0.269612054784745,0.13438816747606,0.0142325934486523,0.0107621788765432,0.461532100058643,0.109472905355357
"spot 4",0.347176245882169,0.185071774307801,0.0503486240419495,0.106332518663315,0.210684203589352,0.100386633515413
"spot 5",0.0380129146958105,0.4915265148762,0.288373765829282,0.0253009694677798,0.076913081863382,0.0798727532675453
"spot 6",0.0848535730280704,0.329232110268646,0.172910761929419,0.048849756489449,0.337512557044355,0.02664124124006
"spot 7",0.179075081284654,0.00151800894541143,0.0765817814797045,0.380885409158339,0.0412343017885242,0.320705417343367
"spot 8",0.119323500314226,0.0569640003526293,0.366429803241928,0.0240631170717461,0.123926025890759,0.309293553128712
"spot 9",0.300508116899024,0.185250879963368,0.236952977665075,0.0696894501621149,0.045759048069425,0.161839527240993
"spot 10",0.102100501632578,0.232777019651868,0.054172893192841,0.122116055340074,0.0720380403739721,0.416795489808667
"spot 11",0.10256439177546,0.466353384159588,0.21408384289145,0.0735758999606462,0.0407115388281099,0.102710942384746
"spot 12",0.401131629467375,0.114297433683605,0.0116010727967364,0.138027225200584,0.182743844277762,0.152198794573939
"spot 13",0.277622522366023,0.0582758916239253,0.436696981308252,0.0310315380174291,0.18336171402106,0.0130113526633097
"spot 14",0.231284384425135,0.119945953498685,0.161347201423463,0.0812253809247462,0.391605848905748,0.0145912308222229
"spot 15",0.0151866439842011,0.238567549279822,0.335457879552017,0.309667512541989,0.0441501317439863,0.0569702828979843
"spot 16",0.0263526764633803,0.0192458904926733,0.18716278217331,0.26004623768444,0.176295117314601,0.330897295871595
"spot 17",0.15158413977216,0.087038902813723,0.122778730401139,0.169080515985853,0.166217266873947,0.303300444153179
"spot 18",0.118051788446155,0.0878899044621061,0.131551136740936,0.123532065244369,0.0214283647930845,0.51754674031335
"spot 19",0.0413356963658346,0.392091499896757,0.0972407616736401,0.0242685881411776,0.407960970576839,0.0371024833457513
"spot 20",0.075624828348149,0.0931709771608852,0.179454854571093,0.0644394077264992,0.287784559458665,0.299525372734708
"spot 21",0.00854229704968919,0.0258685051879991,0.179469680639129,0.321698006088408,0.180594121040134,0.28382738999464
"spot 22",0.00706437983865888,0.0471006977704495,0.123120041070662,0.330264221632991,0.17086494349073,0.321585716196509
"spot 23",0.0377366795571132,0.0634169983397764,0.0634812065706928,0.258581377692148,0.297009040677764,0.279774697162505
"spot 24",0.0100231293326398,0.0953133341131436,0.187495772179992,0.171524060463152,0.330492359984697,0.205151343926375
"spot 25",0.0156616137481811,0.119588366231732,0.10068341401335,0.151615234376975,0.302963144895992,0.309488226733771
"spot 26",0.0709492594478106,0.0208495849177996,0.22750206882567,0.108490948387436,0.138715227729584,0.433492910691699
"spot 27",0.0188281217645346,0.0594347435905809,0.119607184960345,0.196518262505835,0.299216960395673,0.306394726783033
"spot 28",0.0184995302796499,0.0753661445138844,0.110896626137182,0.260146540459212,0.299128282903773,0.235962875706298
"spot 29",0.0077456105651962,0.0874755665462688,0.118163037524974,0.2250952098878,0.328402496863072,0.233118078612689
"spot 30",0.0156344486738983,0.0754750401108522,0.098609142606345,0.18676168386799,0.230969537440906,0.392550147300009
"spot 31",0.0129193006879251,0.14780909312993,0.0360067665103151,0.145811093594839,0.301748846082408,0.355704899994583
"spot 32",0.0175838139779507,0.0543836250562144,0.125402928406037,0.145312500510183,0.27825169664706,0.379065435402554
"spot 33",0.108003972064552,0.0738931735199968,0.0188368759941919,0.0380621432995816,0.650608327876263,0.110595507245415
"spot 34",0.340073978986709,0.28727116128836,0.0933212417976049,0.0673491653629039,0.0953475773506674,0.116636875213755
"spot 35",0.163703202313853,0.252880224874489,0.0893265975063222,0.219380805473076,0.160686981279886,0.114022188552375
"spot 36",0.350861210316121,0.125434126148372,0.088143462297143,0.042654096503064,0.250637788148733,0.142269316586568
"spot 37",0.0632418251907646,0.0241240298455888,0.258090676110435,0.0433522711021161,0.54926460206493,0.0619265956861651
"spot 38",0.0897988615693585,0.139460323124891,0.114284487939672,0.428548977364074,0.159774506702513,0.0681328432994913
"spot 39",0.00855683098917277,0.00376967351150726,0.159382029555195,0.30201674069084,0.218240167233364,0.308034558019922
"spot 40",0.125196975487472,0.425232515063512,0.13578330277842,0.0898745219700589,0.0546534334780987,0.169259251222439
"spot 41",0.437652889638872,0.0335079811108696,0.194866324175939,0.115898370239683,0.205658579672488,0.0124158551621482
"spot 42",0.01252466553039,0.250147491630833,0.363284315374026,0.0604592371268056,0.24976809573179,0.0638161946061551
"spot 43",0.024045095993285,0.174178872173785,0.00919472953864018,0.125486761617562,0.468125989638887,0.198968551037841
"spot 44",0.0800937884435331,0.187156299628429,0.0177408850911485,0.54099442063935,0.0322823143255869,0.141732291871952
"spot 45",0.214935334469196,0.290417871904686,0.00333151315158774,0.400174493148913,0.0554660420278413,0.0356747452977754
"spot 46",0.546515377124621,0.153640086620861,0.148129971266672,0.0634622750159806,0.0493979374569358,0.0388543525149305
"spot 47",0.181106926959533,0.304505515723871,0.172246091615552,0.158743691758558,0.138725341557803,0.0446724323846832
"spot 48",0.354721692912571,0.17216310373943,0.0375864659475501,0.167998317019933,0.0842106725054145,0.183319747875102
"spot 49",0.00727535357446111,0.138575758643247,0.221884911588304,0.579908443083204,0.0023447943727352,0.0500107387380494
"spot 50",0.543408474662712,0.0116592182707376,0.0587665205121969,0.0726546219830841,0.0489434061400346,0.264567758431235
"spot 51",0.0132269607495816,0.359713166501032,0.113360312143134,0.319152542871232,0.0742408057825545,0.120306211952466
"spot 52",0.0536218174697593,0.203575462926377,0.057235286233302,0.114073937498746,0.0205399672975323,0.550953528574283
"spot 53",0.0164128719940041,0.103364793524157,0.0827130324454933,0.22515496375791,0.245806556339418,0.326547781939017
"spot 54",0.0180311932778565,0.10405015521437,0.118765685118935,0.181009127879985,0.356004876001684,0.222138962507169
"spot 55",0.0783855381780122,0.0256793783100765,0.17920104796291,0.279814808833541,0.126862970296362,0.310056256419098
"spot 56",0.0592712911571413,0.0617433476451319,0.103200664964664,0.167613332663401,0.194361321911161,0.4138100416585
"spot 57",0.0331122210493587,0.0366827011625615,0.159338714969465,0.16951091728266,0.282311478457259,0.319043967078696
"spot 58",0.0869494384049314,0.128655854139339,0.150324090527179,0.180768336617442,0.136778042874577,0.316524237436532
"spot 59",0.0179529801428349,0.0253367716999492,0.103747887100372,0.210990462131895,0.278318791339521,0.363653107585428
"spot 60",0.00309095920474473,0.082207783993651,0.166830394971547,0.175620395585597,0.293665440307143,0.278585025937317
"spot 61",0.0161834757504717,0.0994724534791673,0.133170090175456,0.169543583565518,0.239294902437136,0.34233549459225
"spot 62",0.00254921794136996,0.0779260407164805,0.0623473992737469,0.179225309953893,0.243521285575465,0.434430746539044
"spot 63",0.00829472569226808,0.0906016066426514,0.173404525866972,0.239812942569491,0.220273246794914,0.267612952433703
"spot 64",0.00802419895429308,0.100814335054148,0.181174118467855,0.0967665408204093,0.320696896691689,0.292523910011605
"spot 65",0.0241400901051772,0.120329198997836,0.00622958735747638,0.352531973477226,0.0537922118907047,0.44297693817158
"spot 66",0.324518623650124,0.0746337253958918,0.259595390369251,0.01147645808394,0.0710656495747219,0.258710152926072
"spot 67",0.0624016753298943,0.424329209140811,0.14609132192426,0.261233084897361,0.0733390108469827,0.0326056978606899
"spot 68",0.468793203596697,0.166997070690245,0.165418033394601,0.0409492792515875,0.0614669164023176,0.0963754966645527
"spot 69",0.221010877872726,0.296625600446769,0.162022354312374,0.00278316485070705,0.110292769905493,0.207265232611931
"spot 70",0.0156511007902559,0.080767679308819,0.0634488368177934,0.100120964879556,0.354194906362088,0.385816511841487
"spot 71",0.35084709557393,0.186289348628771,0.12074064016085,0.128279550795555,0.113527391512984,0.10031597332791
"spot 72",0.145679908157017,0.0198098243427109,0.0247653863901115,0.531640287435898,0.0121910462925554,0.265913547381707
"spot 73",0.00731518770827462,0.0569782302407882,0.218380986896885,0.392550504778892,0.158451072339344,0.166324018035817
"spot 74",0.264247600952987,0.124524926751876,0.123404466649448,0.262053148512474,0.0675425742997987,0.158227282833416
"spot 75",0.0260319330417564,0.41353312068407,0.280632951627105,0.00260660174804198,0.0400897841413933,0.237105608757634
"spot 76",0.0299695289869349,0.0262936451790655,0.273089602600341,0.363145554885079,0.285051042791843,0.0224506255567365
"spot 77",0.520761210655507,0.0306874270827553,0.159124997882844,0.0914411371350755,0.135371834734147,0.0626133925096722
"spot 78",0.00696631100144911,0.18228264851055,0.432374197614102,0.118216851800673,0.132294477372694,0.127865513700533
"spot 79",0.0502913655259502,0.0278601224405076,0.252497804379472,0.0443333363624319,0.388995984293096,0.236021386998542
"spot 80",0.339097752480678,0.00842792789352075,0.0276165089983713,0.0303423439126881,0.37187742624081,0.222638040473932
"spot 81",0.187612720059605,0.170898935411316,0.0193926600133355,0.314479356241479,0.111447167060244,0.19616916121402
"spot 82",0.349600472022347,0.0422627743403967,0.0379143670657847,0.119350930012083,0.413731444915227,0.0371400116441622
"spot 83",0.121242536450046,0.547653914965881,0.00998555440615567,0.0141776993871251,0.0951481766247022,0.21179211816609
"spot 84",0.000933860131044898,0.498726374439444,0.0392385764030458,0.0889962522812126,0.177393146036227,0.194711790709025
"spot 85",0.0156588916541187,0.102097205393573,0.123899992215573,0.318224920608267,0.229953204615652,0.210165785512816
"spot 86",0.110510067530673,0.0290843550321231,0.159370663220791,0.121609499393081,0.274576091877143,0.304849322946189
"spot 87",0.00721552843537435,0.121936400560746,0.176796631263737,0.18927746749629,0.233712376553103,0.27106159569075
"spot 88",0.0223284305329081,0.101511394575527,0.240940741286653,0.21432181275537,0.200384321667905,0.220513299181637
"spot 89",0.00292572585812419,0.139768286298227,0.029398346233836,0.30424917656973,0.250720662636605,0.272937802403478
"spot 90",0.00286755265551158,0.0398781512746873,0.227877108640372,0.363529900147276,0.253576354075513,0.11227093320664
"spot 91",0.012827854230186,0.108334910812192,0.197892503275755,0.171057759027082,0.307836602785708,0.202050369869077
"spot 92",0.0422071968140971,0.106747597827582,0.126988073206681,0.156412690526843,0.143481344781387,0.42416309684341
"spot 93",0.0173789923073929,0.107001400929129,0.163615998340084,0.0742491994922144,0.336747673246057,0.301006735685123
"spot 94",0.0422882021857292,0.0298473768863962,0.113475178463133,0.287928798113656,0.17396840971035,0.352492034640736
"spot 95",0.00621427905083654,0.138873249231702,0.0936603562191838,0.277772915387472,0.238389592710778,0.245089607400027
"spot 96",0.0282349412575581,0.110411097651036,0.181619871162569,0.114191713369503,0.176336367429612,0.389206009129722
"spot 97",0.013456358119386,0.221249310769715,0.0759504553646182,0.175110730824801,0.251343559554696,0.262889585366784
"spot 98",0.0849001733532424,0.558901047639767,0.0842811090026418,0.145615974356731,0.0525053629225672,0.0737963327250503
"spot 99",0.239608297568942,0.25251586575066,0.291239391628697,0.0335313162913686,0.160876068907599,0.0222290598527328
"spot 100",0.0303132777449412,0.0427081016064891,0.0441717304681226,0.67770994065566,0.0198414002145538,0.185255549310233
"spot 101",0.0310843205941858,0.0949786530370824,0.11270144087809,0.412465413551431,0.226915569516116,0.121854602423095
"spot 102",0.368656928650236,0.0972638775362123,0.30883355247379,0.0357093611601135,0.151363479203871,0.0381728009757771
"spot 103",0.290185601877315,0.219970476001822,0.0853260807297179,0.00276759267504239,0.320696954409772,0.0810532943063304
"spot 104",0.032881785022512,0.493612101206951,0.0562906118902579,0.120275805894063,0.183394542590502,0.113545153395714
"spot 105",0.284218001850809,0.149658581548473,0.00600609716431456,0.425254973703387,0.0100540953355675,0.124808250397449
"spot 106",0.0282770401720215,0.0537882791703341,0.474933005942836,0.310327158270571,0.0718913591078075,0.0607831573364299
"spot 107",0.248555625975053,0.342683678124553,0.0799021626955809,0.151162971194504,0.139566627905035,0.0381289341052745
"spot 108",0.107838126977003,0.100877076100945,0.0829477118687674,0.618466565534619,0.0660612210209421,0.023809298497724
"spot 109",0.0863197771371063,0.262776776987537,0.0617908784190956,0.418055434611405,0.0259671851156288,0.145089947729227
"spot 110",0.0565491733997181,0.265272060424437,0.0392456543594168,0.446349449075192,0.134492052451757,0.0580916102894789
"spot 111",0.543992087664769,0.0342232546411821,0.13947911182194,0.0661179944002934,0.0187434011648777,0.197444150306938
"spot 112",0.456904912837591,0.0163096975994841,0.146693656765654,0.0396830083826376,0.0336098960818726,0.306798828332761
"spot 113",0.0650929673987103,0.185468357361762,0.303142842132676,0.200515682275726,0.1323810627647,0.113399088066426
"spot 114",0.204279132979687,0.0442850313511286,0.0267411505863216,0.398091770002615,0.090758379306231,0.235844535774016
"spot 115",0.0138657593001579,0.080106536714085,0.130653145976901,0.0263711181775234,0.438900516085643,0.31010292374569
"spot 116",0.0524588271416891,0.356668940991357,0.234320671861607,0.0159782206575275,0.263530990089713,0.0770423492581075
"spot 117",0.018483745172456,0.0933654585583197,0.249809146558671,0.0974590481911387,0.162069015064444,0.37881358645497
"spot 118",3.14330511614734e-05,0.166241343855392,0.176147257204455,0.250787034344758,0.210035581279846,0.196757350264387
"spot 119",0.0243526435626022,0.134042262824237,0.162362426975847,0.235727296942514,0.15587664169595,0.28763872799885
"spot 120",0.0358439435168261,0.0790949448532164,0.10797734818042,0.183491436651408,0.26472561433038,0.328866712467749
"spot 121",0.0520492918178306,0.0466211391358422,0.349382837284921,0.190680452024179,0.190973727503697,0.17029255223353
"spot 122",0.0102570862249256,0.0457018967600575,0.115045414183437,0.239425633881566,0.304829292944268,0.284740676005746
"spot 123",0.0126345114052795,0.172721194401874,0.126715093352414,0.158447610072967,0.17151824205765,0.357963348709816
"spot 124",0.017143176795649,0.0397573797240291,0.125548565589594,0.0958249187511711,0.31738945763383,0.404336501505727
"spot 125",0.00717950056352832,0.118320200481337,0.239949325618987,0.192341257889785,0.232992967354735,0.209216748091628
"spot 126",0.03594693627928,0.16783639549714,0.0998724426702301,0.156323258503152,0.201147091208287,0.338873875841911
"spot 127",0.00822476991933468,0.0933736584307832,0.0735728487050196,0.224481707335584,0.261279371007637,0.339067644601642
