"","x","y"
"spot 1",0,0
"spot 2",0,1
"spot 3",0,2
"spot 4",0,3
"spot 5",0,4
"spot 6",0,5
"spot 7",0,6
"spot 8",0,7
"spot 9",0,8
"spot 10",0,9
"spot 11",0,10
"spot 12",0,11
"spot 13",0,12
"spot 14",0,13
"spot 15",0,14
"spot 16",0,15
"spot 17",0,16
"spot 18",0,17
"spot 19",0,18
"spot 20",0,19
"spot 21",0,20
"spot 22",0,21
"spot 23",0,22
"spot 24",0,23
"spot 25",0,24
"spot 26",0,25
"spot 27",0,26
"spot 28",0,27
"spot 29",0,28
"spot 30",0,29
"spot 31",0,30
"spot 32",0,31
"spot 33",1,0
"spot 34",1,1
"spot 35",1,2
"spot 36",1,3
"spot 37",1,4
"spot 38",1,5
"spot 39",1,6
"spot 40",1,7
"spot 41",1,8
"spot 42",1,9
"spot 43",1,10
"spot 44",1,11
"spot 45",1,12
"spot 46",1,13
"spot 47",1,14
"spot 48",1,15
"spot 49",1,16
"spot 50",1,17
"spot 51",1,18
"spot 52",1,19
"spot 53",1,20
"spot 54",1,21
"spot 55",1,22
"spot 56",1,23
"spot 57",1,24
"spot 58",1,25
"spot 59",1,26
"spot 60",1,27
"spot 61",1,28
"spot 62",1,29
"spot 63",1,30
"spot 64",1,31
"spot 65",2,0
"spot 66",2,1
"spot 67",2,2
"spot 68",2,3
"spot 69",2,4
"spot 70",2,5
"spot 71",2,6
"spot 72",2,7
"spot 73",2,8
"spot 74",2,9
"spot 75",2,10
"spot 76",2,11
"spot 77",2,12
"spot 78",2,13
"spot 79",2,14
"spot 80",2,15
"spot 81",2,16
"spot 82",2,17
"spot 83",2,18
"spot 84",2,19
"spot 85",2,20
"spot 86",2,21
"spot 87",2,22
"spot 88",2,23
"spot 89",2,24
"spot 90",2,25
"spot 91",2,26
"spot 92",2,27
"spot 93",2,28
"spot 94",2,29
"spot 95",2,30
"spot 96",2,31
"spot 97",3,0
"spot 98",3,1
"spot 99",3,2
"spot 100",3,3
"spot 101",3,4
"spot 102",3,5
"spot 103",3,6
"spot 104",3,7
"spot 105",3,8
"spot 106",3,9
"spot 107",3,10
"spot 108",3,11
"spot 109",3,12
"spot 110",3,13
"spot 111",3,14
"spot 112",3,15
"spot 113",3,16
"spot 114",3,17
"spot 115",3,18
"spot 116",3,19
"spot 117",3,20
"spot 118",3,21
"spot 119",3,22
"spot 120",3,23
"spot 121",3,24
"spot 122",3,25
"spot 123",3,26
"spot 124",3,27
"spot 125",3,28
"spot 126",3,29
"spot 127",3,30
"spot 128",3,31
"spot 129",4,0
"spot 130",4,1
"spot 131",4,2
"spot 132",4,3
"spot 133",4,4
"spot 134",4,5
"spot 135",4,6
"spot 136",4,7
"spot 137",4,8
"spot 138",4,9
"spot 139",4,10
"spot 140",4,11
"spot 141",4,12
"spot 142",4,13
"spot 143",4,14
"spot 144",4,15
"spot 145",4,16
"spot 146",4,17
"spot 147",4,18
"spot 148",4,19
"spot 149",4,20
"spot 150",4,21
"spot 151",4,22
"spot 152",4,23
"spot 153",4,24
