"method","set","value","inf","inte_situ","pattern"
"nnSVG-Union","F1",0,"inf3","scenario 4","focal"
"nnSVG-Inter","F1",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","F1",0,"inf3","scenario 4","focal"
"nnSVG-HMP","F1",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","precision",0.1297192642788,"inf3","scenario 4","focal"
"nnSVG-AVE","precision",0,"inf3","scenario 4","focal"
"nnSVG-Union","precision",0,"inf3","scenario 4","focal"
"nnSVG-Inter","precision",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","precision",0,"inf3","scenario 4","focal"
"nnSVG-HMP","precision",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","recall",0.536,"inf3","scenario 4","focal"
"nnSVG-AVE","recall",0,"inf3","scenario 4","focal"
"nnSVG-Union","recall",0,"inf3","scenario 4","focal"
"nnSVG-Inter","recall",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","recall",0,"inf3","scenario 4","focal"
"nnSVG-HMP","recall",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","FPR",0.399555555555556,"inf3","scenario 4","focal"
"nnSVG-AVE","FPR",0,"inf3","scenario 4","focal"
"nnSVG-Union","FPR",0,"inf3","scenario 4","focal"
"nnSVG-Inter","FPR",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 4","focal"
"nnSVG-HMP","FPR",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","F1",0.209336403600586,"inf5","scenario 1","focal"
"nnSVG-AVE","F1",0,"inf5","scenario 1","focal"
"nnSVG-Union","F1",0,"inf5","scenario 1","focal"
"nnSVG-Inter","F1",0,"inf5","scenario 1","focal"
"nnSVG-Cauchy","F1",0,"inf5","scenario 1","focal"
"nnSVG-HMP","F1",0,"inf5","scenario 1","focal"
"nnSVG-PASTE","precision",0.116904372223521,"inf5","scenario 1","focal"
"nnSVG-AVE","precision",0,"inf5","scenario 1","focal"
"nnSVG-Union","precision",0,"inf5","scenario 1","focal"
"nnSVG-Inter","precision",0,"inf5","scenario 1","focal"
"nnSVG-Cauchy","precision",0,"inf5","scenario 1","focal"
"nnSVG-HMP","precision",0,"inf5","scenario 1","focal"
"nnSVG-PASTE","recall",1,"inf5","scenario 1","focal"
"nnSVG-AVE","recall",0,"inf5","scenario 1","focal"
"nnSVG-Union","recall",0,"inf5","scenario 1","focal"
"nnSVG-Inter","recall",0,"inf5","scenario 1","focal"
"nnSVG-Cauchy","recall",0,"inf5","scenario 1","focal"
"nnSVG-HMP","recall",0,"inf5","scenario 1","focal"
"nnSVG-PASTE","FPR",0.839333333333333,"inf5","scenario 1","focal"
"nnSVG-AVE","FPR",0,"inf5","scenario 1","focal"
"nnSVG-Union","FPR",0,"inf5","scenario 1","focal"
"nnSVG-Inter","FPR",0,"inf5","scenario 1","focal"
"nnSVG-Cauchy","FPR",0,"inf5","scenario 1","focal"
"nnSVG-HMP","FPR",0,"inf5","scenario 1","focal"
"nnSVG-PASTE","F1",0.222568439795237,"inf5","scenario 2","focal"
"nnSVG-AVE","F1",0,"inf5","scenario 2","focal"
"nnSVG-Union","F1",0,"inf5","scenario 2","focal"
"nnSVG-Inter","F1",0,"inf5","scenario 2","focal"
"nnSVG-Cauchy","F1",0,"inf5","scenario 2","focal"
"nnSVG-HMP","F1",0,"inf5","scenario 2","focal"
"nnSVG-PASTE","precision",0.125219133483596,"inf5","scenario 2","focal"
"nnSVG-AVE","precision",0,"inf5","scenario 2","focal"
"nnSVG-Union","precision",0,"inf5","scenario 2","focal"
"nnSVG-Inter","precision",0,"inf5","scenario 2","focal"
"nnSVG-Cauchy","precision",0,"inf5","scenario 2","focal"
"nnSVG-HMP","precision",0,"inf5","scenario 2","focal"
"nnSVG-PASTE","recall",1,"inf5","scenario 2","focal"
"nnSVG-AVE","recall",0,"inf5","scenario 2","focal"
"nnSVG-Union","recall",0,"inf5","scenario 2","focal"
"nnSVG-Inter","recall",0,"inf5","scenario 2","focal"
"nnSVG-Cauchy","recall",0,"inf5","scenario 2","focal"
"nnSVG-HMP","recall",0,"inf5","scenario 2","focal"
"nnSVG-PASTE","FPR",0.776222222222222,"inf5","scenario 2","focal"
"nnSVG-AVE","FPR",0,"inf5","scenario 2","focal"
"nnSVG-Union","FPR",0,"inf5","scenario 2","focal"
"nnSVG-Inter","FPR",0,"inf5","scenario 2","focal"
"nnSVG-Cauchy","FPR",0,"inf5","scenario 2","focal"
"nnSVG-HMP","FPR",0,"inf5","scenario 2","focal"
"nnSVG-PASTE","F1",0.240366088631985,"inf5","scenario 3","focal"
"nnSVG-AVE","F1",0,"inf5","scenario 3","focal"
"nnSVG-Union","F1",0,"inf5","scenario 3","focal"
"nnSVG-Inter","F1",0,"inf5","scenario 3","focal"
"nnSVG-Cauchy","F1",0,"inf5","scenario 3","focal"
"nnSVG-HMP","F1",0,"inf5","scenario 3","focal"
"nnSVG-PASTE","precision",0.136637458926616,"inf5","scenario 3","focal"
"nnSVG-AVE","precision",0,"inf5","scenario 3","focal"
"nnSVG-Union","precision",0,"inf5","scenario 3","focal"
"nnSVG-Inter","precision",0,"inf5","scenario 3","focal"
"nnSVG-Cauchy","precision",0,"inf5","scenario 3","focal"
"nnSVG-HMP","precision",0,"inf5","scenario 3","focal"
"nnSVG-PASTE","recall",0.998,"inf5","scenario 3","focal"
"nnSVG-AVE","recall",0,"inf5","scenario 3","focal"
"nnSVG-Union","recall",0,"inf5","scenario 3","focal"
"nnSVG-Inter","recall",0,"inf5","scenario 3","focal"
"nnSVG-Cauchy","recall",0,"inf5","scenario 3","focal"
"nnSVG-HMP","recall",0,"inf5","scenario 3","focal"
"nnSVG-PASTE","FPR",0.700666666666667,"inf5","scenario 3","focal"
"nnSVG-AVE","FPR",0,"inf5","scenario 3","focal"
"nnSVG-Union","FPR",0,"inf5","scenario 3","focal"
"nnSVG-Inter","FPR",0,"inf5","scenario 3","focal"
"nnSVG-Cauchy","FPR",0,"inf5","scenario 3","focal"
"nnSVG-HMP","FPR",0,"inf5","scenario 3","focal"
"nnSVG-PASTE","F1",0.159066808059385,"inf5","scenario 4","focal"
"nnSVG-AVE","F1",0,"inf5","scenario 4","focal"
"nnSVG-Union","F1",0,"inf5","scenario 4","focal"
"nnSVG-Inter","F1",0,"inf5","scenario 4","focal"
"nnSVG-Cauchy","F1",0,"inf5","scenario 4","focal"
"nnSVG-HMP","F1",0,"inf5","scenario 4","focal"
"nnSVG-PASTE","precision",0.169300225733634,"inf5","scenario 4","focal"
"nnSVG-AVE","precision",0,"inf5","scenario 4","focal"
"nnSVG-Union","precision",0,"inf5","scenario 4","focal"
"nnSVG-Inter","precision",0,"inf5","scenario 4","focal"
"nnSVG-Cauchy","precision",0,"inf5","scenario 4","focal"
"nnSVG-HMP","precision",0,"inf5","scenario 4","focal"
"nnSVG-PASTE","recall",0.15,"inf5","scenario 4","focal"
"nnSVG-AVE","recall",0,"inf5","scenario 4","focal"
"nnSVG-Union","recall",0,"inf5","scenario 4","focal"
"nnSVG-Inter","recall",0,"inf5","scenario 4","focal"
"nnSVG-Cauchy","recall",0,"inf5","scenario 4","focal"
"nnSVG-HMP","recall",0,"inf5","scenario 4","focal"
"nnSVG-PASTE","FPR",0.0817777777777778,"inf5","scenario 4","focal"
"nnSVG-AVE","FPR",0,"inf5","scenario 4","focal"
"nnSVG-Union","FPR",0,"inf5","scenario 4","focal"
"nnSVG-Inter","FPR",0,"inf5","scenario 4","focal"
"nnSVG-Cauchy","FPR",0,"inf5","scenario 4","focal"
"nnSVG-HMP","FPR",0,"inf5","scenario 4","focal"
"nnSVG-PASTE","F1",0.182415176942722,"inf1","scenario 1","focal"
"nnSVG-AVE","F1",0.0741454020221473,"inf1","scenario 1","focal"
"nnSVG-Union","F1",0.266897746967071,"inf1","scenario 1","focal"
"nnSVG-Inter","F1",0,"inf1","scenario 1","focal"
"nnSVG-Cauchy","F1",0,"inf1","scenario 1","focal"
"nnSVG-HMP","F1",0.0952380952380952,"inf1","scenario 1","focal"
"nnSVG-PASTE","precision",0.100361300682457,"inf1","scenario 1","focal"
"nnSVG-AVE","precision",1,"inf1","scenario 1","focal"
"nnSVG-Union","precision",1,"inf1","scenario 1","focal"
"nnSVG-Inter","precision",0,"inf1","scenario 1","focal"
"nnSVG-Cauchy","precision",0,"inf1","scenario 1","focal"
"nnSVG-HMP","precision",1,"inf1","scenario 1","focal"
"nnSVG-PASTE","recall",1,"inf1","scenario 1","focal"
"nnSVG-AVE","recall",0.0385,"inf1","scenario 1","focal"
"nnSVG-Union","recall",0.154,"inf1","scenario 1","focal"
"nnSVG-Inter","recall",0,"inf1","scenario 1","focal"
"nnSVG-Cauchy","recall",0,"inf1","scenario 1","focal"
"nnSVG-HMP","recall",0.05,"inf1","scenario 1","focal"
"nnSVG-PASTE","FPR",0.996,"inf1","scenario 1","focal"
"nnSVG-AVE","FPR",0,"inf1","scenario 1","focal"
"nnSVG-Union","FPR",0,"inf1","scenario 1","focal"
"nnSVG-Inter","FPR",0,"inf1","scenario 1","focal"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 1","focal"
"nnSVG-HMP","FPR",0,"inf1","scenario 1","focal"
"nnSVG-PASTE","F1",0.182715147085693,"inf1","scenario 2","focal"
"nnSVG-AVE","F1",0.072289156626506,"inf1","scenario 2","focal"
"nnSVG-Union","F1",0.260869565217391,"inf1","scenario 2","focal"
"nnSVG-Inter","F1",0,"inf1","scenario 2","focal"
"nnSVG-Cauchy","F1",0,"inf1","scenario 2","focal"
"nnSVG-HMP","F1",0.0916030534351145,"inf1","scenario 2","focal"
"nnSVG-PASTE","precision",0.100542931831892,"inf1","scenario 2","focal"
"nnSVG-AVE","precision",1,"inf1","scenario 2","focal"
"nnSVG-Union","precision",1,"inf1","scenario 2","focal"
"nnSVG-Inter","precision",0,"inf1","scenario 2","focal"
"nnSVG-Cauchy","precision",0,"inf1","scenario 2","focal"
"nnSVG-HMP","precision",1,"inf1","scenario 2","focal"
"nnSVG-PASTE","recall",1,"inf1","scenario 2","focal"
"nnSVG-AVE","recall",0.0375,"inf1","scenario 2","focal"
"nnSVG-Union","recall",0.15,"inf1","scenario 2","focal"
"nnSVG-Inter","recall",0,"inf1","scenario 2","focal"
"nnSVG-Cauchy","recall",0,"inf1","scenario 2","focal"
"nnSVG-HMP","recall",0.048,"inf1","scenario 2","focal"
"nnSVG-PASTE","FPR",0.994,"inf1","scenario 2","focal"
"nnSVG-AVE","FPR",0,"inf1","scenario 2","focal"
"nnSVG-Union","FPR",0,"inf1","scenario 2","focal"
"nnSVG-Inter","FPR",0,"inf1","scenario 2","focal"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 2","focal"
"nnSVG-HMP","FPR",0,"inf1","scenario 2","focal"
"nnSVG-PASTE","F1",0.184945441094877,"inf1","scenario 3","focal"
"nnSVG-AVE","F1",0.001998001998002,"inf1","scenario 3","focal"
"nnSVG-Union","F1",0.00796812749003984,"inf1","scenario 3","focal"
"nnSVG-Inter","F1",0,"inf1","scenario 3","focal"
"nnSVG-Cauchy","F1",0,"inf1","scenario 3","focal"
"nnSVG-HMP","F1",0.00399201596806387,"inf1","scenario 3","focal"
"nnSVG-PASTE","precision",0.101895251681272,"inf1","scenario 3","focal"
"nnSVG-AVE","precision",1,"inf1","scenario 3","focal"
"nnSVG-Union","precision",1,"inf1","scenario 3","focal"
"nnSVG-Inter","precision",0,"inf1","scenario 3","focal"
"nnSVG-Cauchy","precision",0,"inf1","scenario 3","focal"
"nnSVG-HMP","precision",1,"inf1","scenario 3","focal"
"nnSVG-PASTE","recall",1,"inf1","scenario 3","focal"
"nnSVG-AVE","recall",0.001,"inf1","scenario 3","focal"
"nnSVG-Union","recall",0.004,"inf1","scenario 3","focal"
"nnSVG-Inter","recall",0,"inf1","scenario 3","focal"
"nnSVG-Cauchy","recall",0,"inf1","scenario 3","focal"
"nnSVG-HMP","recall",0.002,"inf1","scenario 3","focal"
"nnSVG-PASTE","FPR",0.979333333333333,"inf1","scenario 3","focal"
"nnSVG-AVE","FPR",0,"inf1","scenario 3","focal"
"nnSVG-Union","FPR",0,"inf1","scenario 3","focal"
"nnSVG-Inter","FPR",0,"inf1","scenario 3","focal"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 3","focal"
"nnSVG-HMP","FPR",0,"inf1","scenario 3","focal"
"nnSVG-PASTE","F1",0.18673680255495,"inf1","scenario 4","focal"
"nnSVG-AVE","F1",0,"inf1","scenario 4","focal"
"nnSVG-Union","F1",0,"inf1","scenario 4","focal"
"nnSVG-Inter","F1",0,"inf1","scenario 4","focal"
"nnSVG-Cauchy","F1",0,"inf1","scenario 4","focal"
"nnSVG-HMP","F1",0,"inf1","scenario 4","focal"
"nnSVG-PASTE","precision",0.103047895500726,"inf1","scenario 4","focal"
"nnSVG-AVE","precision",0,"inf1","scenario 4","focal"
"nnSVG-Union","precision",0,"inf1","scenario 4","focal"
"nnSVG-Inter","precision",0,"inf1","scenario 4","focal"
"nnSVG-Cauchy","precision",0,"inf1","scenario 4","focal"
"nnSVG-HMP","precision",0,"inf1","scenario 4","focal"
"nnSVG-PASTE","recall",0.994,"inf1","scenario 4","focal"
"nnSVG-AVE","recall",0,"inf1","scenario 4","focal"
"nnSVG-Union","recall",0,"inf1","scenario 4","focal"
"nnSVG-Inter","recall",0,"inf1","scenario 4","focal"
"nnSVG-Cauchy","recall",0,"inf1","scenario 4","focal"
"nnSVG-HMP","recall",0,"inf1","scenario 4","focal"
"nnSVG-PASTE","FPR",0.961333333333333,"inf1","scenario 4","focal"
"nnSVG-AVE","FPR",0,"inf1","scenario 4","focal"
"nnSVG-Union","FPR",0,"inf1","scenario 4","focal"
"nnSVG-Inter","FPR",0,"inf1","scenario 4","focal"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 4","focal"
"nnSVG-HMP","FPR",0,"inf1","scenario 4","focal"
"nnSVG-PASTE","F1",0.186636804777902,"inf3","scenario 1","focal"
"nnSVG-AVE","F1",0,"inf3","scenario 1","focal"
"nnSVG-Union","F1",0,"inf3","scenario 1","focal"
"nnSVG-Inter","F1",0,"inf3","scenario 1","focal"
"nnSVG-Cauchy","F1",0,"inf3","scenario 1","focal"
"nnSVG-HMP","F1",0,"inf3","scenario 1","focal"
"nnSVG-PASTE","precision",0.102923013585838,"inf3","scenario 1","focal"
"nnSVG-AVE","precision",0,"inf3","scenario 1","focal"
"nnSVG-Union","precision",0,"inf3","scenario 1","focal"
"nnSVG-Inter","precision",0,"inf3","scenario 1","focal"
"nnSVG-Cauchy","precision",0,"inf3","scenario 1","focal"
"nnSVG-HMP","precision",0,"inf3","scenario 1","focal"
"nnSVG-PASTE","recall",1,"inf3","scenario 1","focal"
"nnSVG-AVE","recall",0,"inf3","scenario 1","focal"
"nnSVG-Union","recall",0,"inf3","scenario 1","focal"
"nnSVG-Inter","recall",0,"inf3","scenario 1","focal"
"nnSVG-Cauchy","recall",0,"inf3","scenario 1","focal"
"nnSVG-HMP","recall",0,"inf3","scenario 1","focal"
"nnSVG-PASTE","FPR",0.968444444444444,"inf3","scenario 1","focal"
"nnSVG-AVE","FPR",0,"inf3","scenario 1","focal"
"nnSVG-Union","FPR",0,"inf3","scenario 1","focal"
"nnSVG-Inter","FPR",0,"inf3","scenario 1","focal"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 1","focal"
"nnSVG-HMP","FPR",0,"inf3","scenario 1","focal"
"nnSVG-PASTE","F1",0.195083886071011,"inf3","scenario 2","focal"
"nnSVG-AVE","F1",0,"inf3","scenario 2","focal"
"nnSVG-Union","F1",0,"inf3","scenario 2","focal"
"nnSVG-Inter","F1",0,"inf3","scenario 2","focal"
"nnSVG-Cauchy","F1",0,"inf3","scenario 2","focal"
"nnSVG-HMP","F1",0,"inf3","scenario 2","focal"
"nnSVG-PASTE","precision",0.108084738434933,"inf3","scenario 2","focal"
"nnSVG-AVE","precision",0,"inf3","scenario 2","focal"
"nnSVG-Union","precision",0,"inf3","scenario 2","focal"
"nnSVG-Inter","precision",0,"inf3","scenario 2","focal"
"nnSVG-Cauchy","precision",0,"inf3","scenario 2","focal"
"nnSVG-HMP","precision",0,"inf3","scenario 2","focal"
"nnSVG-PASTE","recall",1,"inf3","scenario 2","focal"
"nnSVG-AVE","recall",0,"inf3","scenario 2","focal"
"nnSVG-Union","recall",0,"inf3","scenario 2","focal"
"nnSVG-Inter","recall",0,"inf3","scenario 2","focal"
"nnSVG-Cauchy","recall",0,"inf3","scenario 2","focal"
"nnSVG-HMP","recall",0,"inf3","scenario 2","focal"
"nnSVG-PASTE","FPR",0.916888888888889,"inf3","scenario 2","focal"
"nnSVG-AVE","FPR",0,"inf3","scenario 2","focal"
"nnSVG-Union","FPR",0,"inf3","scenario 2","focal"
"nnSVG-Inter","FPR",0,"inf3","scenario 2","focal"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 2","focal"
"nnSVG-HMP","FPR",0,"inf3","scenario 2","focal"
"nnSVG-PASTE","F1",0.191975427145325,"inf3","scenario 3","focal"
"nnSVG-AVE","F1",0,"inf3","scenario 3","focal"
"nnSVG-Union","F1",0,"inf3","scenario 3","focal"
"nnSVG-Inter","F1",0,"inf3","scenario 3","focal"
"nnSVG-Cauchy","F1",0,"inf3","scenario 3","focal"
"nnSVG-HMP","F1",0,"inf3","scenario 3","focal"
"nnSVG-PASTE","precision",0.106179655977915,"inf3","scenario 3","focal"
"nnSVG-AVE","precision",0,"inf3","scenario 3","focal"
"nnSVG-Union","precision",0,"inf3","scenario 3","focal"
"nnSVG-Inter","precision",0,"inf3","scenario 3","focal"
"nnSVG-Cauchy","precision",0,"inf3","scenario 3","focal"
"nnSVG-HMP","precision",0,"inf3","scenario 3","focal"
"nnSVG-PASTE","recall",1,"inf3","scenario 3","focal"
"nnSVG-AVE","recall",0,"inf3","scenario 3","focal"
"nnSVG-Union","recall",0,"inf3","scenario 3","focal"
"nnSVG-Inter","recall",0,"inf3","scenario 3","focal"
"nnSVG-Cauchy","recall",0,"inf3","scenario 3","focal"
"nnSVG-HMP","recall",0,"inf3","scenario 3","focal"
"nnSVG-PASTE","FPR",0.935333333333333,"inf3","scenario 3","focal"
"nnSVG-AVE","FPR",0,"inf3","scenario 3","focal"
"nnSVG-Union","FPR",0,"inf3","scenario 3","focal"
"nnSVG-Inter","FPR",0,"inf3","scenario 3","focal"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 3","focal"
"nnSVG-HMP","FPR",0,"inf3","scenario 3","focal"
"nnSVG-PASTE","F1",0.187767322497861,"inf3","scenario 4","focal"
"nnSVG-AVE","F1",0,"inf3","scenario 4","focal"
"nnSVG-Union","F1",0,"inf3","scenario 4","focal"
"nnSVG-Inter","F1",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","F1",0,"inf3","scenario 4","focal"
"nnSVG-HMP","F1",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","precision",0.105124521072797,"inf3","scenario 4","focal"
"nnSVG-AVE","precision",0,"inf3","scenario 4","focal"
"nnSVG-Union","precision",0,"inf3","scenario 4","focal"
"nnSVG-Inter","precision",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","precision",0,"inf3","scenario 4","focal"
"nnSVG-HMP","precision",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","recall",0.878,"inf3","scenario 4","focal"
"nnSVG-AVE","recall",0,"inf3","scenario 4","focal"
"nnSVG-Union","recall",0,"inf3","scenario 4","focal"
"nnSVG-Inter","recall",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","recall",0,"inf3","scenario 4","focal"
"nnSVG-HMP","recall",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","FPR",0.830444444444444,"inf3","scenario 4","focal"
"nnSVG-AVE","FPR",0,"inf3","scenario 4","focal"
"nnSVG-Union","FPR",0,"inf3","scenario 4","focal"
"nnSVG-Inter","FPR",0,"inf3","scenario 4","focal"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 4","focal"
"nnSVG-HMP","FPR",0,"inf3","scenario 4","focal"
"nnSVG-PASTE","F1",0.202511138112596,"inf5","scenario 1","focal"
"nnSVG-AVE","F1",0,"inf5","scenario 1","focal"
"nnSVG-Union","F1",0,"inf5","scenario 1","focal"
"nnSVG-Inter","F1",0,"inf5","scenario 1","focal"
"nnSVG-Cauchy","F1",0,"inf5","scenario 1","focal"
